date,downloads
2026-08-17,23
2026-08-18,13
2026-08-19,2
2026-08-20,6
2026-08-21,8
2026-08-22,2
2026-08-23,4
2026-08-24,6
2026-08-25,7
2026-08-26,7
2026-08-27,8
2026-08-28,9
2026-08-29,9
2026-08-30,10
2026-08-31,12
2026-09-01,13
2026-09-02,13
2026-09-03,15
2026-09-04,16
2026-09-05,17
2026-09-06,18
2026-09-07,19
2026-09-08,20
2026-09-09,20
2026-09-10,21
2026-09-11,22
2026-09-12,24
2026-09-13,25
2026-09-14,26
2026-09-15,26
2026-09-16,27
2026-09-17,27
2026-09-18,30
2026-09-19,30
2026-09-20,30
2026-09-21,31
2026-09-22,31
2026-09-23,31
2026-09-24,31
2026-09-25,31
2026-09-26,31
